schedule_code  schedule_for_route_code     route_code                                              route_name                        route_destination  route_variant  first_stop_code  last_stop_code start_time stop_time run_code duty_code  is_halfway    shift_type
        401/W                  5248718       401-VC-U                    Vadaj - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             2033            2194    8:30:00   8:55:00    401/W   401/W-G           0 General Shift
        401/U                  5248719       401-VC-U                    Vadaj - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             2033            2194    8:00:00   8:25:00    401/U   401/U-G           0 General Shift
        401/T                  5248720       401-VC-U                    Vadaj - Chandkheda (Sarthi Bunglows)             Chandkheda (Sarthi Bunglows)         NORMAL             2033            2194    7:50:00   8:15:00    401/T   401/T-G           0 General Shift
        401/S                  5248721          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598    8:00:00   9:15:00    401/S   401/S-G           0 General Shift
        401/T                  5248722          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598    8:15:00   9:30:00    401/T   401/T-G           0 General Shift
        401/U                  5248723          401-D                    Chandkheda (Sarthi Bunglows) - Vasna                                    Vasna         NORMAL             2195            1598    8:25:00   9:40:00    401/U   401/U-G           0 General Shift
       1521/A                  5248724        152/1-U                                Lal Darwaja - Gatrad Gam                               Gatrad Gam         NORMAL             1125            7027    5:45:00   6:35:00   1521/A  1521/A-G           0 General Shift
       1304/D                  5248725        130/4-D                              Manmohan Park - Nava Vadaj                               Nava Vadaj         NORMAL             7607            2101   20:50:00  21:50:00   1304/D  1304/D-G           0 General Shift
         77/H                  5248726           77-D            Dr.Shyamaprasad Mukharjee Chowk - Nava Vadaj                               Nava Vadaj         NORMAL             2253            2082   12:35:00  13:50:00     77/H    77/H-G           0 General Shift
        147/A                  5248727          147-U                          Vadaj - Ranchodpura Cross Road                   Ranchodpura Cross Road         NORMAL             2107            5862    6:20:00   7:15:00    147/A   147/A-G           0 General Shift
