 Company_Code Route_Code  Start_Stage  Moved_Stage  Fare_Amount  Card_Type_Code
          103       68-U            2           11         1700               0
          103       68-U            3           10         1700               0
          103       68-U            4            9         1500               0
          103       68-U            5            8         1500               0
          103       68-U            6            7         1300               0
          103       68-U            7            6         1300               0
          103       68-U            8            5         1200               0
          103       68-U            9            4         1200               0
          103       68-U           10            3         1100               0
          103       68-U           11            2          900               0
          103       68-U           12            1          700               0
          103       68-U           13            0          300               0
          103       68-U            1           13         1800               0
          103       68-U            2           12         1700               0
          103       68-U            3           11         1700               0
          103       68-U            4           10         1700               0
          103       68-U            5            9         1500               0
          103       68-U            6            8         1500               0
          103       68-U            7            7         1300               0
          103       68-U            8            6         1300               0
          103       68-U            9            5         1200               0
          103       68-U           10            4         1200               0
          103       68-U           11            3         1100               0
          103       68-U           12            2          900               0
          103       68-U           13            1          700               0
          103       68-U           14            0          300               0
          103       68-D            1            5         1200               0
          103       68-D            3            3          900               0
          103       68-D            2            5         1200               0
          103       68-D            3            4         1100               0
          103       68-D            4            3          900               0
          103       68-D            1            7         1300               0
          103       68-D            3            5         1200               0
          103       68-D            2            7         1300               0
          103       68-D            4            5         1200               0
          103       68-D            1            9         1500               0
          103       68-D            1           10         1700               0
          103       68-D            2            9         1500               0
          103       68-D            3            8         1500               0
          103       68-D            4            7         1500               0
          103       68-D            5            6         1300               0
          103       68-D            6            5         1300               0
          103       68-D            7            4         1200               0
          103       68-D            8            3         1100               0
          103       68-D            9            2          900               0
          103       68-D           10            1          700               0
          103       68-D           11            0          300               0
          103       68-D            1           11         1700               0
          103       68-D            2           10         1700               0
          103       68-D            3            9         1700               0
          103       68-D            4            8         1500               0
          103       68-D            5            7         1500               0
          103       68-D            6            6         1300               0
          103       68-D            7            5         1300               0
          103       68-D            8            4         1200               0
          103       68-D            9            3         1100               0
          103       68-D           10            2          900               0
          103       68-D           11            1          700               0
          103       68-D           12            0          300               0
          103       68-D            1           12         1700               0
          103       68-D            2           11         1700               0
          103       68-D            3           10         1700               0
          103       68-D            4            9         1500               0
          103       68-D            5            8         1500               0
          103       68-D            6            7         1500               0
          103       68-D            7            6         1300               0
          103       68-D            8            5         1300               0
          103       68-D            9            4         1200               0
          103       68-D           10            3         1100               0
          103       68-D           11            2          900               0
          103       68-D           12            1          700               0
          103       68-D           13            0          300               0
          103       68-D            1           13         1800               0
          103       68-D            2           12         1800               0
          103       68-D            3           11         1700               0
          103       68-D            4           10         1700               0
          103       68-D            5            9         1500               0
          103       68-D            6            8         1500               0
          103       68-D            7            7         1500               0
          103       68-D            8            6         1300               0
          103       68-D            9            5         1300               0
          103       68-D           10            4         1200               0
          103       68-D           11            3         1100               0
          103       68-D           12            2          900               0
          103       68-D           13            1          700               0
          103       68-D           14            0          300               0
          103     70/1-U            1            4         1100               0
          103     70/1-U            1            5         1200               0
          103     70/1-U            1            7         1300               0
          103     70/1-U            2            7         1300               0
          103     70/1-U            1            9         1500               0
          103     70/1-U            3            7         1300               0
          103     70/1-D            1            7         1300               0
          103     70/1-D            2            7         1300               0
          103     70/1-D            1            9         1500               0
          103     70/1-D            3            7         1300               0
          103     70/1-D            5            5         1200               0
          103     70/1-D            6            4         1100               0
          103     70/2-U            1           10         1700               0
          103     70/2-U            2            9         1700               0
          103     70/2-U            3            8         1500               0
          103     70/2-U            4            7         1500               0
          103     70/2-U            5            6         1300               0
          103     70/2-U            6            5         1300               0
          103     70/2-U            7            4         1200               0
          103     70/2-U            8            3         1100               0
          103     70/2-U            9            2          900               0
          103     70/2-U           10            1          700               0
          103     70/2-U           11            0          300               0
          103     70/2-U            1           11         1800               0
          103     70/2-U            2           10         1700               0
          103     70/2-U            3            9         1700               0
          103     70/2-U            4            8         1500               0
          103     70/2-U            5            7         1500               0
          103     70/2-U            6            6         1300               0
          103     70/2-U            7            5         1300               0
          103     70/2-U            8            4         1200               0
          103     70/2-U            9            3         1100               0
          103     70/2-U           10            2          900               0
          103     70/2-U           11            1          700               0
          103     70/2-U           12            0          300               0
          103     70/2-U            1           12         1800               0
          103     70/2-U            2           11         1700               0
          103     70/2-U            3           10         1700               0
          103     70/2-U            4            9         1700               0
          103     70/2-U            5            8         1500               0
          103     70/2-U            6            7         1500               0
          103     70/2-U            7            6         1300               0
          103     70/2-U            8            5         1300               0
          103     70/2-U            9            4         1200               0
          103     70/2-U           10            3         1100               0
          103     70/2-U           11            2          900               0
          103     70/2-U           12            1          700               0
          103     70/2-U           13            0          300               0
          103     70/2-D            1           10         1700               0
          103     70/2-D            2            9         1700               0
          103     70/2-D            3            8         1500               0
          103     70/2-D            4            7         1500               0
          103     70/2-D            5            6         1300               0
          103     70/2-D            6            5         1300               0
          103     70/2-D            7            4         1200               0
          103     70/2-D            8            3         1100               0
          103     70/2-D            9            2          900               0
          103     70/2-D           10            1          700               0
          103     70/2-D           11            0          300               0
          103     70/2-D            1           11         1700               0
          103     70/2-D            2           10         1700               0
          103     70/2-D            3            9         1700               0
          103     70/2-D            4            8         1500               0
          103     70/2-D            5            7         1500               0
          103     70/2-D            6            6         1300               0
          103     70/2-D            7            5         1300               0
          103     70/2-D            8            4         1200               0
          103     70/2-D            9            3         1100               0
          103     70/2-D           10            2          900               0
          103     70/2-D           11            1          700               0
          103     70/2-D           12            0          300               0
          103     70/2-D            1           12         1800               0
          103     70/2-D            2           11         1800               0
          103     70/2-D            3           10         1700               0
          103     70/2-D            4            9         1700               0
          103     70/2-D            5            8         1500               0
          103     70/2-D            6            7         1500               0
          103     70/2-D            7            6         1300               0
          103     70/2-D            8            5         1300               0
          103     70/2-D            9            4         1200               0
          103     70/2-D           10            3         1100               0
          103     70/2-D           11            2          900               0
          103     70/2-D           12            1          700               0
          103     70/2-D           13            0          300               0
          103       72-U            1            2          700               0
          103       72-U            1            3          900               0
          103       72-U            1            7         1300               0
          103       72-U            1            9         1500               0
          103       72-U            1           10         1700               0
          103       72-U            2            9         1500               0
          103       72-U            3            8         1500               0
          103       72-U            4            7         1500               0
          103       72-U            5            6         1300               0
          103       72-U            6            5         1300               0
          103       72-U            7            4         1200               0
          103       72-U            8            3         1100               0
          103       72-U            9            2          900               0
          103       72-U           10            1          700               0
          103       72-U           11            0          300               0
          103       72-U            1           11         1700               0
          103       72-U            2           10         1700               0
          103       72-U            3            9         1500               0
          103       72-U            4            8         1500               0
          103       72-U            5            7         1300               0
          103       72-U            6            6         1300               0
          103       72-U            7            5         1200               0
          103       72-U            8            4         1100               0
          103       72-U            9            3         1100               0
          103       72-U           10            2          900               0
          103       72-U           11            1          700               0
          103       72-U           12            0          300               0
          103       72-U            1           12         1800               0
          103       72-U            2           11         1700               0
          103       72-U            3           10         1700               0
          103       72-U            4            9         1700               0
          103       72-U            5            8         1500               0
          103       72-U            6            7         1500               0
          103       72-U            7            6         1300               0
          103       72-U            8            5         1300               0
          103       72-U            9            4         1200               0
          103       72-U           10            3         1100               0
          103       72-U           11            2          900               0
          103       72-U           12            1          700               0
          103       72-U           13            0          300               0
          103       72-D            2            4         1100               0
          103       72-D            2            5         1200               0
          103       72-D            2            7         1300               0
          103       72-D            1           10         1700               0
          103       72-D            2            9         1500               0
          103       72-D            3            8         1500               0
          103       72-D            4            7         1500               0
          103       72-D            5            6         1300               0
          103       72-D            6            5         1300               0
          103       72-D            7            4         1200               0
          103       72-D            8            3         1100               0
          103       72-D            9            2          900               0
          103       72-D           10            1          700               0
          103       72-D           11            0          300               0
          103       72-D            1           11         1700               0
          103       72-D            2           10         1700               0
          103       72-D            3            9         1500               0
          103       72-D            4            8         1500               0
          103       72-D            5            7         1500               0
          103       72-D            6            6         1300               0
          103       72-D            7            5         1300               0
          103       72-D            8            4         1200               0
          103       72-D            9            3         1100               0
          103       72-D           10            2          900               0
          103       72-D           11            1          700               0
          103       72-D           12            0          300               0
          103       72-D            1           12         1800               0
          103       72-D            2           11         1700               0
          103       72-D            3           10         1700               0
          103       72-D            4            9         1500               0
          103       72-D            5            8         1500               0
          103       72-D            6            7         1300               0
          103       72-D            7            6         1300               0
          103       72-D            8            5         1300               0
          103       72-D            9            4         1200               0
          103       72-D           10            3          900               0
          103       72-D           11            2          700               0
          103       72-D           12            1          700               0
          103       72-D           13            0          300               0
          103     74/1-U            1            7         1300               0
          103     74/1-U            3            5         1200               0
          103     74/1-U            4            4         1100               0
          103     74/1-D            1            4         1100               0
          103     74/1-D            1            5         1200               0
          103     74/1-D            1            7         1300               0
          103     80/1-U            2            5         1200               0
          103     80/1-U            3            4         1100               0
          103     80/1-U            1            7         1300               0
          103     80/1-U            3            5         1200               0
          103     80/1-U            2            7         1300               0
          103     80/1-U            4            5         1200               0
          103     80/1-U            1            9         1500               0
          103     80/1-U            3            7         1300               0
          103     80/1-U            1           10         1700               0
          103     80/1-U            2            9         1500               0
          103     80/1-U            3            8         1500               0
          103     80/1-U            4            7         1300               0
          103     80/1-U            5            6         1300               0
          103     80/1-U            6            5         1200               0
          103     80/1-U            7            4         1200               0
          103     80/1-U            8            3         1100               0
          103     80/1-U            9            2          900               0
          103     80/1-U           10            1          700               0
          103     80/1-U           11            0          300               0
          103     80/1-U            1           11         1700               0
          103     80/1-U            2           10         1700               0
          103     80/1-U            3            9         1500               0
          103     80/1-U            4            8         1500               0
          103     80/1-U            5            7         1500               0
          103     80/1-U            6            6         1300               0
          103     80/1-U            7            5         1300               0
          103     80/1-U            8            4         1200               0
          103     80/1-U            9            3         1100               0
          103     80/1-U           10            2          900               0
          103     80/1-U           11            1          700               0
          103     80/1-U           12            0          300               0
          103     80/1-U            1           12         1800               0
          103     80/1-U            2           11         1700               0
          103     80/1-U            3           10         1700               0
          103     80/1-U            4            9         1500               0
          103     80/1-U            5            8         1500               0
          103     80/1-U            6            7         1500               0
          103     80/1-U            7            6         1300               0
          103     80/1-U            8            5         1300               0
          103     80/1-U            9            4         1200               0
          103     80/1-U           10            3         1100               0
          103     80/1-U           11            2          900               0
          103     80/1-U           12            1          700               0
          103     80/1-U           13            0          300               0
          103     80/2-D            2            5         1200               0
          103     80/2-D            3            4         1100               0
          103     80/2-D            1            7         1300               0
          103     80/2-D            3            5         1200               0
          103     80/2-D            2            7         1300               0
          103     80/2-D            4            5         1200               0
          103     80/2-D            1            9         1500               0
          103     80/2-D            3            7         1300               0
          103     80/2-D            1           10         1700               0
          103     80/2-D            2            9         1500               0
          103     80/2-D            3            8         1500               0
          103     80/2-D            4            7         1300               0
          103     80/2-D            5            6         1300               0
          103     80/2-D            6            5         1200               0
          103     80/2-D            7            4         1200               0
          103     80/2-D            8            3         1100               0
          103     80/2-D            9            2          900               0
          103     80/2-D           10            1          700               0
          103     80/2-D           11            0          300               0
          103     80/2-D            1           11         1700               0
          103     80/2-D            2           10         1700               0
          103     80/2-D            3            9         1500               0
          103     80/2-D            4            8         1500               0
          103     80/2-D            5            7         1500               0
          103     80/2-D            6            6         1300               0
          103     80/2-D            7            5         1300               0
          103     80/2-D            8            4         1200               0
          103     80/2-D            9            3         1100               0
          103     80/2-D           10            2          900               0
          103     80/2-D           11            1          700               0
          103     80/2-D           12            0          300               0
          103     80/2-D            1           12         1800               0
          103     80/2-D            2           11         1700               0
          103     80/2-D            3           10         1700               0
          103     80/2-D            4            9         1500               0
          103     80/2-D            5            8         1500               0
          103     80/2-D            6            7         1500               0
          103     80/2-D            7            6         1300               0
          103     80/2-D            8            5         1300               0
          103     80/2-D            9            4         1200               0
          103     80/2-D           10            3         1100               0
          103     80/2-D           11            2          900               0
          103     80/2-D           12            1          700               0
          103     80/2-D           13            0          300               0
          103       82-U            1            5         1200               0
          103       82-U            2            4         1100               0
          103       82-D            1            4         1100               0
          103       82-D            1            5         1200               0
          103       88-U            3            7         1300               0
          103       88-U            5            5         1200               0
          103       88-U            6            4         1100               0
          103       88-U            7            3          900               0
          103       88-D            1            3          900               0
          103       88-D            1            4         1100               0
          103       88-D            1            5         1200               0
          103       88-D            1            7         1300               0
          103       90-U            4            4         1100               0
          103       90-U            1           10         1700               0
          103       90-U            2            9         1700               0
          103       90-U            3            8         1500               0
          103       90-U            4            7         1500               0
          103       90-U            5            6         1300               0
          103       90-U            6            5         1300               0
          103       90-U            7            4         1100               0
          103       90-U            8            3          900               0
          103       90-U            9            2          900               0
          103       90-U           10            1          700               0
          103       90-U           11            0          300               0
          103       90-U            1           11         1800               0
          103       90-U            2           10         1700               0
          103       90-U            3            9         1700               0
          103       90-U            4            8         1500               0
          103       90-U            5            7         1500               0
          103       90-U            6            6         1300               0
          103       90-U            7            5         1300               0
          103       90-U            8            4         1200               0
          103       90-U            9            3         1100               0
          103       90-U           10            2          900               0
          103       90-U           11            1          700               0
          103       90-U           12            0          300               0
          103       90-U            1           12         1800               0
          103       90-U            2           11         1800               0
          103       90-U            3           10         1700               0
          103       90-U            4            9         1700               0
          103       90-U            5            8         1500               0
          103       90-U            6            7         1300               0
          103       90-U            7            6         1300               0
          103       90-U            8            5         1300               0
          103       90-U            9            4         1200               0
          103       90-U           10            3         1100               0
          103       90-U           11            2          900               0
          103       90-U           12            1          700               0
          103       90-U           13            0          300               0
          103       90-U            1           13         2000               0
          103       90-U            2           12         1800               0
          103       90-U            3           11         1800               0
          103       90-U            4           10         1700               0
          103       90-U            5            9         1700               0
          103       90-U            6            8         1500               0
          103       90-U            7            7         1500               0
          103       90-U            8            6         1300               0
          103       90-U            9            5         1300               0
          103       90-U           10            4         1200               0
          103       90-U           11            3         1100               0
          103       90-U           12            2          900               0
          103       90-U           13            1          700               0
          103       90-U           14            0          300               0
          103       90-U            1           14         2000               0
          103       90-U            2           13         2000               0
          103       90-U            3           12         1800               0
          103       90-U            4           11         1800               0
          103       90-U            5           10         1700               0
          103       90-U            6            9         1700               0
          103       90-U            7            8         1500               0
          103       90-U            8            7         1500               0
          103       90-U            9            6         1300               0
          103       90-U           10            5         1300               0
          103       90-U           11            4         1200               0
          103       90-U           12            3         1100               0
          103       90-U           13            2          900               0
          103       90-U           14            1          700               0
          103       90-U           15            0          300               0
          103       90-D            5            3          900               0
          103       90-D            5            4         1100               0
          103       90-D            3            7         1300               0
          103       90-D            1           10         1700               0
          103       90-D            2            9         1700               0
          103       90-D            3            8         1500               0
          103       90-D            4            7         1500               0
          103       90-D            5            6         1300               0
          103       90-D            6            5         1300               0
          103       90-D            7            4         1200               0
          103       90-D            8            3         1100               0
          103       90-D            9            2          900               0
          103       90-D           10            1          700               0
          103       90-D           11            0          300               0
          103       90-D            1           11         1800               0
          103       90-D            2           10         1700               0
          103       90-D            3            9         1700               0
          103       90-D            4            8         1500               0
          103       90-D            5            7         1500               0
          103       90-D            6            6         1300               0
          103       90-D            7            5         1300               0
          103       90-D            8            4         1100               0
          103       90-D            9            3         1100               0
          103       90-D           10            2          900               0
          103       90-D           11            1          700               0
          103       90-D           12            0          300               0
          103       90-D            1           12         1800               0
          103       90-D            2           11         1800               0
          103       90-D            3           10         1700               0
          103       90-D            4            9         1700               0
          103       90-D            5            8         1500               0
          103       90-D            6            7         1500               0
          103       90-D            7            6         1300               0
          103       90-D            8            5         1300               0
          103       90-D            9            4         1200               0
          103       90-D           10            3         1100               0
          103       90-D           11            2          900               0
          103       90-D           12            1          700               0
          103       90-D           13            0          300               0
          103       90-D            1           13         2000               0
          103       90-D            2           12         1800               0
          103       90-D            3           11         1800               0
          103       90-D            4           10         1700               0
          103       90-D            5            9         1700               0
          103       90-D            6            8         1500               0
          103       90-D            7            7         1500               0
          103       90-D            8            6         1300               0
          103       90-D            9            5         1300               0
          103       90-D           10            4         1200               0
          103       90-D           11            3         1100               0
          103       90-D           12            2          900               0
          103       90-D           13            1          700               0
          103       90-D           14            0          300               0
          103       90-D            1           14         2000               0
          103       90-D            2           13         2000               0
          103       90-D            3           12         1800               0
          103       90-D            4           11         1800               0
          103       90-D            5           10         1700               0
          103       90-D            6            9         1700               0
          103       90-D            7            8         1500               0
          103       90-D            8            7         1500               0
          103       90-D            9            6         1300               0
          103       90-D           10            5         1300               0
          103       90-D           11            4         1200               0
          103       90-D           12            3         1100               0
          103       90-D           13            2          900               0
          103       90-D           14            1          700               0
          103       90-D           15            0          300               0
          103     96sh-U            2            4         1100               0
          103     96sh-D            2            4         1100               0
          103      106-U            1            3          900               0
          103      106-U            1            4         1100               0
          103      106-U            1            5         1200               0
          103      106-U            1            7         1300               0
          103      106-U            2            7         1300               0
          103      106-U            4            5         1200               0
          103      106-U            1            9         1500               0
          103      106-U            3            7         1300               0
          103      106-U            1           10         1700               0
          103      106-U            2            9         1500               0
          103      106-U            3            8         1500               0
          103      106-U            4            7         1300               0
          103      106-U            5            6         1300               0
          103      106-U            6            5         1300               0
          103      106-U            7            4         1200               0
          103      106-U            8            3         1100               0
          103      106-U            9            2          900               0
          103      106-U           10            1          700               0
          103      106-U           11            0          300               0
          103      106-U            1           11         1700               0
          103      106-U            2           10         1700               0
          103      106-U            3            9         1500               0
          103      106-U            4            8         1500               0
          103      106-U            5            7         1300               0
          103      106-U            6            6         1300               0
          103      106-U            7            5         1300               0
          103      106-U            8            4         1200               0
          103      106-U            9            3         1100               0
          103      106-U           10            2          900               0
          103      106-U           11            1          700               0
          103      106-U           12            0          300               0
          103      106-U            1           12         1700               0
          103      106-U            2           11         1700               0
          103      106-U            3           10         1700               0
          103      106-U            4            9         1500               0
          103      106-U            5            8         1500               0
          103      106-U            6            7         1500               0
          103      106-U            7            6         1300               0
          103      106-U            8            5         1300               0
          103      106-U            9            4         1200               0
          103      106-U           10            3         1100               0
          103      106-U           11            2          900               0
          103      106-U           12            1          700               0
          103      106-U           13            0          300               0
          103      106-U            1           13         1800               0
          103      106-U            2           12         1800               0
          103      106-U            3           11         1700               0
          103      106-U            4           10         1700               0
          103      106-U            5            9         1700               0
          103      106-U            6            8         1500               0
          103      106-U            7            7         1500               0
          103      106-U            8            6         1300               0
          103      106-U            9            5         1300               0
          103      106-U           10            4         1200               0
          103      106-U           11            3         1100               0
          103      106-U           12            2          900               0
          103      106-U           13            1          700               0
          103      106-U           14            0          300               0
          103      106-U            1           14         1800               0
          103      106-U            2           13         1800               0
          103      106-U            3           12         1800               0
          103      106-U            4           11         1700               0
          103      106-U            5           10         1700               0
          103      106-U            6            9         1700               0
          103      106-U            7            8         1500               0
          103      106-U            8            7         1500               0
          103      106-U            9            6         1300               0
          103      106-U           10            5         1300               0
          103      106-U           11            4         1200               0
          103      106-U           12            3         1100               0
          103      106-U           13            2          900               0
          103      106-U           14            1          700               0
