 Company_Code Route_Code  Start_Stage  Moved_Stage  Fare_Amount  Card_Type_Code
          103       FFFF           18            1          700               0
          103       FFFF           19            0          300               0
          103       FFFF            1           19         2300               0
          103       FFFF            2           18         2200               0
          103       FFFF            3           17         2200               0
          103       FFFF            4           16         2200               0
          103       FFFF            5           15         2000               0
          103       FFFF            6           14         2000               0
          103       FFFF            7           13         2000               0
          103       FFFF            8           12         1800               0
          103       FFFF            9           11         1800               0
          103       FFFF           10           10         1700               0
          103       FFFF           11            9         1700               0
          103       FFFF           12            8         1500               0
          103       FFFF           13            7         1500               0
          103       FFFF           14            6         1300               0
          103       FFFF           15            5         1300               0
          103       FFFF           16            4         1200               0
          103       FFFF           17            3         1100               0
          103       FFFF           18            2          900               0
          103       FFFF           19            1          700               0
          103       FFFF           20            0          300               0
          103       FFFF            1           20         2300               0
          103       FFFF            2           19         2300               0
          103       FFFF            3           18         2200               0
          103       FFFF            4           17         2200               0
          103       FFFF            5           16         2200               0
          103       FFFF            6           15         2000               0
          103       FFFF            7           14         2000               0
          103       FFFF            8           13         2000               0
          103       FFFF            9           12         1800               0
          103       FFFF           10           11         1800               0
          103       FFFF           11           10         1700               0
          103       FFFF           12            9         1700               0
          103       FFFF           13            8         1500               0
          103       FFFF           14            7         1500               0
          103       FFFF           15            6         1300               0
          103       FFFF           16            5         1300               0
          103       FFFF           17            4         1200               0
          103       FFFF           18            3         1100               0
          103       FFFF           19            2          900               0
          103       FFFF           20            1          700               0
          103       FFFF           21            0          300               0
          103       FFFF            1           21         2300               0
          103       FFFF            2           20         2300               0
          103       FFFF            3           19         2300               0
          103       FFFF            4           18         2200               0
          103       FFFF            5           17         2200               0
          103       FFFF            6           16         2200               0
          103       FFFF            7           15         2000               0
          103       FFFF            8           14         2000               0
          103       FFFF            9           13         2000               0
          103       FFFF           10           12         1800               0
          103       FFFF           11           11         1800               0
          103       FFFF           12           10         1700               0
          103       FFFF           13            9         1700               0
          103       FFFF           14            8         1500               0
          103       FFFF           15            7         1500               0
