station_code  stop_code                                     stop_name  short_stop_name stop_type  arrival_trigger_distance  departure_trigger_distance                    position stop_variant
          24         48                          Swaminarayan College              NaN      BRTS                       NaN                         NaN POINT (72.587073 23.001365)       NORMAL
          25         49                  Kankariya Telephone Exchange              NaN      BRTS                       NaN                         NaN  POINT (72.59286 23.002433)       NORMAL
          25         50                  Kankariya Telephone Exchange              NaN      BRTS                       NaN                         NaN POINT (72.592839 23.002379)       NORMAL
          26         51              Kankariya Lake Shukla Dada Chowk              NaN      BRTS                       NaN                         NaN  POINT (72.598896 23.00323)       NORMAL
          27         53                                       Rambaug              NaN      BRTS                       NaN                         NaN  POINT (72.600643 22.99988)       NORMAL
          27         54                                       Rambaug              NaN      BRTS                       NaN                         NaN  POINT (72.600575 22.99991)       NORMAL
          28         55                          Maninagar Char Rasta              NaN      BRTS                       NaN                         NaN   POINT (72.606448 22.9972)       NORMAL
          28         56                          Maninagar Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.606358 22.997162)       NORMAL
          29         57                                     Maninagar              NaN      BRTS                       NaN                         NaN  POINT (72.61142 22.997729)       NORMAL
          30         59                           Swaminarayan Mandir              NaN      BRTS                       NaN                         NaN POINT (72.611714 22.994894)       NORMAL
          30         60                           Swaminarayan Mandir              NaN      BRTS                       NaN                         NaN POINT (72.611634 22.994862)       NORMAL
          31         61                                 Jawahar Chowk              NaN      BRTS                       NaN                         NaN  POINT (72.605065 22.99519)       NORMAL
          31         62                                 Jawahar Chowk              NaN      BRTS                       NaN                         NaN    POINT (72.605 22.995157)       NORMAL
          32         63                              Bhairavnath Road              NaN      BRTS                       NaN                         NaN POINT (72.599093 22.995513)       NORMAL
          32         64                              Bhairavnath Road              NaN      BRTS                       NaN                         NaN POINT (72.599028 22.995486)       NORMAL
          33         65                        Mira Cinema Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.593239 22.999069)       NORMAL
          33         66                        Mira Cinema Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.593199 22.999124)       NORMAL
          34         67                                Danilimda Road              NaN      BRTS                       NaN                         NaN  POINT (72.579164 22.99606)       NORMAL
          34         68                                Danilimda Road              NaN      BRTS                       NaN                         NaN  POINT (72.57909 22.996104)       NORMAL
          35         69                                Chhipa Society              NaN      BRTS                       NaN                         NaN POINT (72.581669 22.991536)       NORMAL
          35         70                                Chhipa Society              NaN      BRTS                       NaN                         NaN POINT (72.581578 22.991571)       NORMAL
          36         71                                 Chandola Lake              NaN      BRTS                       NaN                         NaN POINT (72.582622 22.986434)       NORMAL
          36         72                                 Chandola Lake              NaN      BRTS                       NaN                         NaN  POINT (72.58257 22.986455)       NORMAL
          37         73                                 BRTS Workshop              NaN      BRTS                       NaN                         NaN  POINT (72.58572 22.982124)       NORMAL
          37         74                                 BRTS Workshop              NaN      BRTS                       NaN                         NaN POINT (72.585648 22.982165)       NORMAL
          38         75                             Kashiram Textiles              NaN      BRTS                       NaN                         NaN POINT (72.586806 22.976786)       NORMAL
          38         76                             Kashiram Textiles              NaN      BRTS                       NaN                         NaN POINT (72.586738 22.976825)       NORMAL
          39         77                                         Narol              NaN      BRTS                       NaN                         NaN POINT (72.589558 22.973039)       NORMAL
          39         78                                         Narol              NaN      BRTS                       NaN                         NaN POINT (72.589509 22.972932)       NORMAL
          40         79                             Mukesh Industries              NaN      BRTS                       NaN                         NaN  POINT (72.59528 22.974019)       NORMAL
          40         80                             Mukesh Industries              NaN      BRTS                       NaN                         NaN  POINT (72.59525 22.973956)       NORMAL
          41         81                                       Isanpur              NaN      BRTS                       NaN                         NaN POINT (72.602367 22.976238)       NORMAL
          41         82                                       Isanpur              NaN      BRTS                       NaN                         NaN  POINT (72.60234 22.976179)       NORMAL
          42         83                                      Ghodasar              NaN      BRTS                       NaN                         NaN POINT (72.610163 22.978537)       NORMAL
          42         84                                      Ghodasar              NaN      BRTS                       NaN                         NaN POINT (72.610131 22.978476)       NORMAL
          43         85                       Jashodanagar Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.623936 22.983865)       NORMAL
          43         86                       Jashodanagar Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.623931 22.983791)       NORMAL
          44         87                      Express Highway Junction              NaN      BRTS                       NaN                         NaN POINT (72.627611 22.987307)       NORMAL
          44         88                      Express Highway Junction              NaN      BRTS                       NaN                         NaN POINT (72.627615 22.987238)       NORMAL
          45         89                                CTM Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.631727 22.991333)       NORMAL
          45         90                                CTM Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.631738 22.991262)       NORMAL
          46         91                              Purvdeep Society              NaN      BRTS                       NaN                         NaN POINT (72.634192 22.996121)       NORMAL
          46         92                              Purvdeep Society              NaN      BRTS                       NaN                         NaN POINT (72.634153 22.996181)       NORMAL
          47         93                            Jogeshwari Society              NaN      BRTS                       NaN                         NaN POINT (72.635611 23.000439)       NORMAL
          47         94                            Jogeshwari Society              NaN      BRTS                       NaN                         NaN POINT (72.635568 23.000486)       NORMAL
          48         95                                 Rabari Colony              NaN      BRTS                       NaN                         NaN POINT (72.636891 23.004314)       NORMAL
          48         96                                 Rabari Colony              NaN      BRTS                       NaN                         NaN POINT (72.636855 23.004385)       NORMAL
          49         97                               Ram Rajya Nagar              NaN      BRTS                       NaN                         NaN POINT (72.638116 23.007985)       NORMAL
          49         98                               Ram Rajya Nagar              NaN      BRTS                       NaN                         NaN POINT (72.638086 23.008066)       NORMAL
          50        100                                Rameshwar Park              NaN      BRTS                       NaN                         NaN  POINT (72.63841 23.013671)       NORMAL
          51        101                            Geeta Gauri Cinema              NaN      BRTS                       NaN                         NaN POINT (72.638447 23.017353)       NORMAL
          51        102                            Geeta Gauri Cinema              NaN      BRTS                       NaN                         NaN POINT (72.638389 23.017409)       NORMAL
          52        103                                 Soni ni Chali              NaN      BRTS                       NaN                         NaN POINT (72.638428 23.020567)       NORMAL
          52        104                                 Soni ni Chali              NaN      BRTS                       NaN                         NaN POINT (72.638367 23.020691)       NORMAL
          53        105                                    Viratnagar              NaN      BRTS                       NaN                         NaN POINT (72.638806 23.027507)       NORMAL
          53        106                                    Viratnagar              NaN      BRTS                       NaN                         NaN POINT (72.638758 23.027579)       NORMAL
          54        107                           Bapu Nagar Approach              NaN      BRTS                       NaN                         NaN POINT (72.639272 23.032554)       NORMAL
          54        108                           Bapu Nagar Approach              NaN      BRTS                       NaN                         NaN POINT (72.639219 23.032602)       NORMAL
          55        109                                     Lilanagar              NaN      BRTS                       NaN                         NaN POINT (72.640046 23.036936)       NORMAL
          55        110                                     Lilanagar              NaN      BRTS                       NaN                         NaN POINT (72.640004 23.036994)       NORMAL
          56        111                        Thakkar Nagar Approach              NaN      BRTS                       NaN                         NaN  POINT (72.64056 23.041144)       NORMAL
          56        112                        Thakkar Nagar Approach              NaN      BRTS                       NaN                         NaN POINT (72.640509 23.041201)       NORMAL
          57        113                                      Hirawadi              NaN      BRTS                       NaN                         NaN POINT (72.640999 23.045583)       NORMAL
          57        114                                      Hirawadi              NaN      BRTS                       NaN                         NaN POINT (72.640955 23.045658)       NORMAL
          58        115                                    Vijay Park              NaN      BRTS                       NaN                         NaN   POINT (72.64185 23.05132)       NORMAL
          58        116                                    Vijay Park              NaN      BRTS                       NaN                         NaN POINT (72.641809 23.051403)       NORMAL
          59        117                                 Krishna nagar              NaN      BRTS                       NaN                         NaN POINT (72.642473 23.054899)       NORMAL
          59        118                                 Krishna nagar              NaN      BRTS                       NaN                         NaN POINT (72.642422 23.054942)       NORMAL
          60        119                          Dhanush Dhari Mandir              NaN      BRTS                       NaN                         NaN POINT (72.642947 23.059741)       NORMAL
          60        120                          Dhanush Dhari Mandir              NaN      BRTS                       NaN                         NaN POINT (72.642898 23.059802)       NORMAL
          61        121                         Naroda S. T. Workshop              NaN      BRTS                       NaN                         NaN  POINT (72.64297 23.064185)       NORMAL
          61        122                         Naroda S. T. Workshop              NaN      BRTS                       NaN                         NaN POINT (72.642916 23.064235)       NORMAL
          62        123                                N R Patel Park              NaN      BRTS                       NaN                         NaN POINT (72.571726 23.066288)       NORMAL
          62        124                                N R Patel Park              NaN      BRTS                       NaN                         NaN POINT (72.571663 23.066371)       NORMAL
          63        125                             Ramapir No Tekaro              NaN      BRTS                       NaN                         NaN  POINT (72.571743 23.06164)       NORMAL
          63        126                             Ramapir No Tekaro              NaN      BRTS                       NaN                         NaN POINT (72.571677 23.061707)       NORMAL
          64        127                                    Juna Vadaj              NaN      BRTS                       NaN                         NaN   POINT (72.57171 23.05676)       NORMAL
          64        128                                    Juna Vadaj              NaN      BRTS                       NaN                         NaN POINT (72.571647 23.056817)       NORMAL
          65        129                                     Gurudwara              NaN      BRTS                       NaN                         NaN POINT (72.582406 23.048522)       NORMAL
          65        130                                     Gurudwara              NaN      BRTS                       NaN                         NaN POINT (72.582342 23.048595)       NORMAL
          66        131                                   Hanumanpura              NaN      BRTS                       NaN                         NaN POINT (72.583773 23.044912)       NORMAL
          66        132                                   Hanumanpura              NaN      BRTS                       NaN                         NaN POINT (72.583686 23.044965)       NORMAL
          67        133                           Sarkari Litho Press              NaN      BRTS                       NaN                         NaN POINT (72.585218 23.041696)       NORMAL
          67        134                           Sarkari Litho Press              NaN      BRTS                       NaN                         NaN  POINT (72.585138 23.04174)       NORMAL
          68        135                            Jodhpur Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.527423 23.025194)       NORMAL
          68        136                            Jodhpur Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.527319 23.025188)       NORMAL
          69        137                                   Star Bazaar              NaN      BRTS                       NaN                         NaN POINT (72.524173 23.026189)       NORMAL
          69        138                                   Star Bazaar              NaN      BRTS                       NaN                         NaN POINT (72.524059 23.026166)       NORMAL
          70        139                                          ISRO              NaN      BRTS                       NaN                         NaN POINT (72.517715 23.027736)       NORMAL
          70        140                                          ISRO              NaN      BRTS                       NaN                         NaN POINT (72.517628 23.027659)       NORMAL
          71        141                                   Ramdevnagar              NaN      BRTS                       NaN                         NaN POINT (72.512849 23.027534)       NORMAL
          71        142                                   Ramdevnagar              NaN      BRTS                       NaN                         NaN POINT (72.512763 23.027471)       NORMAL
          72        143                             ISKCON Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.508539 23.027171)       NORMAL
          72        144                             ISKCON Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.508456 23.027123)       NORMAL
          73        145                                  Grid Station              NaN      BRTS                       NaN                         NaN  POINT (72.64358 23.021278)       NORMAL
          73        146                                  Grid Station              NaN      BRTS                       NaN                         NaN POINT (72.643634 23.021344)       NORMAL
          74        147                            Odhav Fire Station              NaN      BRTS                       NaN                         NaN  POINT (72.650754 23.02234)       NORMAL
          74        148                            Odhav Fire Station              NaN      BRTS                       NaN                         NaN POINT (72.650829 23.022407)       NORMAL
          75        149                                 Vallabh Nagar              NaN      BRTS                       NaN                         NaN POINT (72.654811 23.022921)       NORMAL
          75        150                                 Vallabh Nagar              NaN      BRTS                       NaN                         NaN  POINT (72.654883 23.02299)       NORMAL
          76        151                            Chhotalal ni Chali              NaN      BRTS                       NaN                         NaN  POINT (72.65873 23.023488)       NORMAL
          76        152                            Chhotalal ni Chali              NaN      BRTS                       NaN                         NaN  POINT (72.65882 23.023553)       NORMAL
          77        153                             Morlidhar Society              NaN      BRTS                       NaN                         NaN POINT (72.662339 23.024003)       NORMAL
          77        154                             Morlidhar Society              NaN      BRTS                       NaN                         NaN POINT (72.662407 23.024067)       NORMAL
          78        155                                   Odhav Talav              NaN      BRTS                       NaN                         NaN POINT (72.665309 23.024458)       NORMAL
          78        156                                   Odhav Talav              NaN      BRTS                       NaN                         NaN POINT (72.665445 23.024531)       NORMAL
          79        157                         SP Ring Road Approach              NaN      BRTS                       NaN                         NaN  POINT (72.67141 23.024866)       NORMAL
          79        158                         SP Ring Road Approach              NaN      BRTS                       NaN                         NaN POINT (72.671514 23.024929)       NORMAL
          81        159                          Ajit Mill Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.633286 23.020036)       NORMAL
          81        160                          Ajit Mill Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.633371 23.020091)       NORMAL
          82        161                                    Parasnagar              NaN      BRTS                       NaN                         NaN POINT (72.543284 23.055508)       NORMAL
          82        162                                    Parasnagar              NaN      BRTS                       NaN                         NaN POINT (72.543178 23.055501)       NORMAL
          83        163                       Parshwanath Jain Mandir              NaN      BRTS                       NaN                         NaN POINT (72.539256 23.057609)       NORMAL
          83        164                       Parshwanath Jain Mandir              NaN      BRTS                       NaN                         NaN POINT (72.539154 23.057611)       NORMAL
          84        165                                    Bhuyangdev              NaN      BRTS                       NaN                         NaN POINT (72.535569 23.060509)       NORMAL
          84        166                                    Bhuyangdev              NaN      BRTS                       NaN                         NaN POINT (72.535474 23.060528)       NORMAL
          85        167                          Sattadhar Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.532825 23.062888)       NORMAL
          85        168                          Sattadhar Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.532704 23.062892)       NORMAL
          86        169                                   Sola Bridge              NaN      BRTS                       NaN                         NaN   POINT (72.5298 23.064845)       NORMAL
          86        170                                   Sola Bridge              NaN      BRTS                       NaN                         NaN POINT (72.529577 23.064879)       NORMAL
          87        171                         Science City Approach              NaN      BRTS                       NaN                         NaN POINT (72.523023 23.070017)       NORMAL
          87        172                         Science City Approach              NaN      BRTS                       NaN                         NaN  POINT (72.52296 23.070068)       NORMAL
          88        173                         Sabarmati Power House              NaN      BRTS                       NaN                         NaN POINT (72.592581 23.073943)       NORMAL
          88        174                         Sabarmati Power House              NaN      BRTS                       NaN                         NaN POINT (72.592516 23.073991)       NORMAL
          89        175                               Rathi Apartment              NaN      BRTS                       NaN                         NaN POINT (72.595044 23.078547)       NORMAL
          89        176                               Rathi Apartment              NaN      BRTS                       NaN                         NaN  POINT (72.59495 23.078586)       NORMAL
          90        177             Sabarmati Municipal Swimming pool              NaN      BRTS                       NaN                         NaN POINT (72.593382 23.081482)       NORMAL
          90        178             Sabarmati Municipal Swimming pool              NaN      BRTS                       NaN                         NaN POINT (72.593304 23.081531)       NORMAL
          91        179                      Sabarmati Police Station              NaN      BRTS                       NaN                         NaN POINT (72.591903 23.086039)       NORMAL
          91        180                      Sabarmati Police Station              NaN      BRTS                       NaN                         NaN POINT (72.591831 23.086078)       NORMAL
          92        181                             Motera Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.590147 23.091929)       NORMAL
          92        182                             Motera Cross Road              NaN      BRTS                       NaN                         NaN POINT (72.590068 23.091984)       NORMAL
          93        183                   Visat -Gandhinagar Junction              NaN      BRTS                       NaN                         NaN   POINT (72.5886 23.097363)       NORMAL
          93        184                   Visat -Gandhinagar Junction              NaN      BRTS                       NaN                         NaN POINT (72.588519 23.097418)       NORMAL
          94        186                               R.T.O Extension              NaN      BRTS                       NaN                         NaN POINT (72.581434 23.068931)       NORMAL
          95        187                           Lokamanya Tilak Bag              NaN      BRTS                       NaN                         NaN POINT (72.580385 23.021987)       NORMAL
          95        188                           Lokamanya Tilak Bag              NaN      BRTS                       NaN                         NaN  POINT (72.580309 23.02194)       NORMAL
          96        189                            Raikhad Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.582707 23.021595)       NORMAL
          96        190                            Raikhad Char Rasta              NaN      BRTS                       NaN                         NaN POINT (72.582626 23.021555)       NORMAL
          97        191                  Municipal Corporation Office              NaN      BRTS                       NaN                         NaN  POINT (72.586204 23.01968)       NORMAL
          97        192                  Municipal Corporation Office              NaN      BRTS                       NaN                         NaN POINT (72.586124 23.019687)       NORMAL
          98        193                              Astodiya Chakala              NaN      BRTS                       NaN                         NaN POINT (72.588618 23.018629)       NORMAL
          98        194                              Astodiya Chakala              NaN      BRTS                       NaN                         NaN   POINT (72.588522 23.0186)       NORMAL
          99        195                              Astodiya Darwaja              NaN      BRTS                       NaN                         NaN POINT (72.592186 23.016849)       NORMAL
          99        196                              Astodiya Darwaja              NaN      BRTS                       NaN                         NaN POINT (72.592132 23.016799)       NORMAL
         100        197                                Raipur Darwaja              NaN      BRTS                       NaN                         NaN POINT (72.596045 23.017445)       NORMAL
