station_code  stop_code                                     stop_name  short_stop_name stop_type  arrival_trigger_distance  departure_trigger_distance                    position stop_variant
        2208       1947                              New Cloth Market              NaN      AMTS                       NaN                         NaN  POINT (72.59909 23.019433)       NORMAL
        2484       3229                                     Ranip Gam              NaN      AMTS                       NaN                         NaN POINT (72.577471 23.080836)       NORMAL
        1994       3539                               Maganpura Chowk              NaN      AMTS                       NaN                         NaN   POINT (72.57838 23.07997)       NORMAL
        2622       3596                          Sarkari Press Colony              NaN      AMTS                       NaN                         NaN POINT (72.578536 23.078303)       NORMAL
        2643       3597                            Sarveshwar Mahadev              NaN      AMTS                       NaN                         NaN  POINT (72.57877 23.074761)       NORMAL
        3096       3598                    Radhaswami Satsang (Ranip)              NaN      AMTS                       NaN                         NaN POINT (72.577743 23.072705)       NORMAL
        2964       3599                            Umang Park Society              NaN      AMTS                       NaN                         NaN POINT (72.577238 23.071401)       NORMAL
        2483       5288                              Ranip Cross Road              NaN      AMTS                       NaN                         NaN POINT (72.576606 23.068348)       NORMAL
        2848       3693                         Subhash Bridge Circle              NaN      AMTS                       NaN                         NaN  POINT (72.58282 23.067486)       NORMAL
        1401       2215                              Collector Office              NaN      AMTS                       NaN                         NaN POINT (72.582168 23.065061)       NORMAL
        1958       2216                       Lal Bangla (Abhay Ghat)              NaN      AMTS                       NaN                         NaN POINT (72.581213 23.062771)       NORMAL
        1518       2217                                 Gandhi Ashram              NaN      AMTS                       NaN                         NaN  POINT (72.580096 23.06021)       NORMAL
        1364       2218                           Chandrabhaga Bridge              NaN      AMTS                       NaN                         NaN POINT (72.578482 23.058589)       NORMAL
        2978       2107                                         Vadaj              NaN      AMTS                       NaN                         NaN POINT (72.571935 23.055433)       NORMAL
        1348       2108                             Champaner Society              NaN      AMTS                       NaN                         NaN POINT (72.571363 23.050541)       NORMAL
        2975       2863                                     Usmanpura              NaN      AMTS                       NaN                         NaN POINT (72.570203 23.045203)       NORMAL
        1627       2110                             Gujarat Vidyapith              NaN      AMTS                       NaN                         NaN POINT (72.569903 23.043365)       NORMAL
        1705       1212                             Income Tax Office              NaN      AMTS                       NaN                         NaN POINT (72.569438 23.039451)       NORMAL
        2102       1353                           Mount Carmel School              NaN      AMTS                       NaN                         NaN  POINT (72.569705 23.03389)       NORMAL
        2082       2219                       Mill Owners Association              NaN      AMTS                       NaN                         NaN POINT (72.570153 23.032718)       NORMAL
        3005       2220                                  Vallabhsadan              NaN      AMTS                       NaN                         NaN POINT (72.570603 23.029853)       NORMAL
        2182       2221                                Nataraj Cinema              NaN      AMTS                       NaN                         NaN POINT (72.570805 23.028671)       NORMAL
        1150       1076                                    Apna Bazar              NaN      AMTS                       NaN                         NaN POINT (72.580705 23.025321)       NORMAL
        1961       1125                                   Lal Darwaja              NaN      AMTS                       NaN                         NaN POINT (72.578744 23.024982)       NORMAL
          95       1726                     Lokamanya Tilak Bag (BRT)              NaN      AMTS                       NaN                         NaN   POINT (72.58082 23.02207)       NORMAL
          96       1727                      Raikhad Char Rasta (BRT)              NaN      AMTS                       NaN                         NaN    POINT (72.58167 23.0219)       NORMAL
          97       1728            Municipal Corporation Office (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.586334 23.019683)       NORMAL
          98       1729                         Astodiya Chakla (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.588666 23.018745)       NORMAL
          99       3086                        Astodiya Darwaja (BRT)              NaN      AMTS                       NaN                         NaN    POINT (72.5911 23.01614)       NORMAL
         131       3159                            Geeta Mandir (BRT)              NaN      AMTS                       NaN                         NaN   POINT (72.591443 23.0131)       NORMAL
         132       3160                          Bhulabhai Park (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.591171 23.006743)       NORMAL
         133       3161                             Mangal Park (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.589943 23.003613)       NORMAL
          25       3162            Kankariya Telephone Exchange (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.592926 23.002435)       NORMAL
        1587       2234                                   Gordhanwadi              NaN      AMTS                       NaN                         NaN POINT (72.596161 23.003246)       NORMAL
        2400       3163                   Pushpakunj-Shukladada Chowk              NaN      AMTS                       NaN                         NaN POINT (72.598261 23.002376)       NORMAL
        2372       3164                              Pranshankar Hall              NaN      AMTS                       NaN                         NaN  POINT (72.59802 23.000935)       NORMAL
        2417       3165                             Radhanpur Society              NaN      AMTS                       NaN                         NaN  POINT (72.59744 22.998378)       NORMAL
        1269       2870                                   Bhairavnath              NaN      AMTS                       NaN                         NaN POINT (72.597648 22.995891)       NORMAL
        3006       2871                                   Vallabhwadi              NaN      AMTS                       NaN                         NaN POINT (72.601348 22.995343)       NORMAL
        1768       3166                     Jawahar Chowk (Maninagar)              NaN      AMTS                       NaN                         NaN POINT (72.604153 22.994733)       NORMAL
        1688       3218                                Hirabhai Tower              NaN      AMTS                       NaN                         NaN POINT (72.603973 22.990693)       NORMAL
        1729       3219                                   Ishwarnagar              NaN      AMTS                       NaN                         NaN POINT (72.603833 22.989108)       NORMAL
        3018       3220                                Vashisthanagar              NaN      AMTS                       NaN                         NaN  POINT (72.60274 22.985971)       NORMAL
        1777       3221                               Jaymala Society              NaN      AMTS                       NaN                         NaN POINT (72.602421 22.983991)       NORMAL
        1131       3222                                     Anandwadi              NaN      AMTS                       NaN                         NaN  POINT (72.60321 22.982425)       NORMAL
        2477       3223                             Ramwadi (Isanpur)              NaN      AMTS                       NaN                         NaN  POINT (72.602373 22.98059)       NORMAL
        1725       3072                                       Isanpur              NaN      AMTS                       NaN                         NaN POINT (72.600135 22.978313)       NORMAL
        2477       3073                             Ramwadi (Isanpur)              NaN      AMTS                       NaN                         NaN POINT (72.602316 22.980723)       NORMAL
        1131       3074                                     Anandwadi              NaN      AMTS                       NaN                         NaN POINT (72.603123 22.982507)       NORMAL
        1777       3075                               Jaymala Society              NaN      AMTS                       NaN                         NaN POINT (72.602266 22.984356)       NORMAL
        3018       3076                                Vashisthanagar              NaN      AMTS                       NaN                         NaN  POINT (72.60276 22.986225)       NORMAL
        1729       3077                                   Ishwarnagar              NaN      AMTS                       NaN                         NaN POINT (72.603586 22.988628)       NORMAL
        1688       3078                                Hirabhai Tower              NaN      AMTS                       NaN                         NaN  POINT (72.60389 22.991095)       NORMAL
        2368       3079                                  Prakashnagar              NaN      AMTS                       NaN                         NaN  POINT (72.60399 22.993253)       NORMAL
        1768       2879                     Jawahar Chowk (Maninagar)              NaN      AMTS                       NaN                         NaN  POINT (72.603246 22.99521)       NORMAL
        3006       2880                                   Vallabhwadi              NaN      AMTS                       NaN                         NaN POINT (72.601011 22.995275)       NORMAL
        1269       2881                                   Bhairavnath              NaN      AMTS                       NaN                         NaN  POINT (72.59786 22.995731)       NORMAL
        2417       3080                             Radhanpur Society              NaN      AMTS                       NaN                         NaN  POINT (72.597376 22.99839)       NORMAL
        2372       3081                              Pranshankar Hall              NaN      AMTS                       NaN                         NaN  POINT (72.598111 23.00158)       NORMAL
        2400       2148                   Pushpakunj-Shukladada Chowk              NaN      AMTS                       NaN                         NaN POINT (72.598013 23.003255)       NORMAL
        1587       2149                                   Gordhanwadi              NaN      AMTS                       NaN                         NaN POINT (72.596388 23.003195)       NORMAL
          25       3082            Kankariya Telephone Exchange (BRT)              NaN      AMTS                       NaN                         NaN   POINT (72.592945 23.0024)       NORMAL
         133       3083                             Mangal Park (BRT)              NaN      AMTS                       NaN                         NaN  POINT (72.58986 23.003551)       NORMAL
         132       3084                          Bhulabhai Park (BRT)              NaN      AMTS                       NaN                         NaN   POINT (72.5911 23.006698)       NORMAL
         131       3085                            Geeta Mandir (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.591345 23.013057)       NORMAL
          99       1719                        Astodiya Darwaja (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.592286 23.016735)       NORMAL
          98       1720                         Astodiya Chakla (BRT)              NaN      AMTS                       NaN                         NaN  POINT (72.58864 23.018541)       NORMAL
          97       1721            Municipal Corporation Office (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.586225 23.019555)       NORMAL
          96       1722                      Raikhad Char Rasta (BRT)              NaN      AMTS                       NaN                         NaN  POINT (72.58282 23.021478)       NORMAL
          95       1723                     Lokamanya Tilak Bag (BRT)              NaN      AMTS                       NaN                         NaN POINT (72.580446 23.021858)       NORMAL
        1150       1126                                    Apna Bazar              NaN      AMTS                       NaN                         NaN POINT (72.579073 23.025068)       NORMAL
        2182       2160                                Nataraj Cinema              NaN      AMTS                       NaN                         NaN POINT (72.570706 23.028653)       NORMAL
        3005       2161                                  Vallabhsadan              NaN      AMTS                       NaN                         NaN POINT (72.570475 23.029938)       NORMAL
        2082       2162                       Mill Owners Association              NaN      AMTS                       NaN                         NaN POINT (72.570033 23.032731)       NORMAL
        2102       1151                           Mount Carmel School              NaN      AMTS                       NaN                         NaN POINT (72.568771 23.035868)       NORMAL
        1705       2030                             Income Tax Office              NaN      AMTS                       NaN                         NaN POINT (72.569513 23.042136)       NORMAL
        1627       2163                             Gujarat Vidyapith              NaN      AMTS                       NaN                         NaN  POINT (72.56962 23.043068)       NORMAL
        2975       2031                                     Usmanpura              NaN      AMTS                       NaN                         NaN POINT (72.570955 23.048301)       NORMAL
        1348       2032                             Champaner Society              NaN      AMTS                       NaN                         NaN  POINT (72.57131 23.050876)       NORMAL
        2978       2033                                         Vadaj              NaN      AMTS                       NaN                         NaN POINT (72.571524 23.055089)       NORMAL
        1364       2164                           Chandrabhaga Bridge              NaN      AMTS                       NaN                         NaN POINT (72.578313 23.058668)       NORMAL
        1518       2165                                 Gandhi Ashram              NaN      AMTS                       NaN                         NaN POINT (72.580343 23.061195)       NORMAL
        1958       2166                       Lal Bangla (Abhay Ghat)              NaN      AMTS                       NaN                         NaN POINT (72.581116 23.063081)       NORMAL
        1401       2167                              Collector Office              NaN      AMTS                       NaN                         NaN  POINT (72.58224 23.065556)       NORMAL
        2848       3959                         Subhash Bridge Circle              NaN      AMTS                       NaN                         NaN POINT (72.582066 23.067963)       NORMAL
        2483       4498                              Ranip Cross Road              NaN      AMTS                       NaN                         NaN POINT (72.576506 23.068333)       NORMAL
        2964       3961                            Umang Park Society              NaN      AMTS                       NaN                         NaN    POINT (72.5772 23.07147)       NORMAL
        3096       3962                    Radhaswami Satsang (Ranip)              NaN      AMTS                       NaN                         NaN  POINT (72.577658 23.07288)       NORMAL
        2643       3963                            Sarveshwar Mahadev              NaN      AMTS                       NaN                         NaN  POINT (72.578351 23.07451)       NORMAL
        2622       3964                          Sarkari Press Colony              NaN      AMTS                       NaN                         NaN POINT (72.578459 23.078058)       NORMAL
        1994       3965                               Maganpura Chowk              NaN      AMTS                       NaN                         NaN POINT (72.578261 23.080125)       NORMAL
        2484       3230                                     Ranip Gam              NaN      AMTS                       NaN                         NaN POINT (72.577068 23.080818)       NORMAL
        1442       4827                                     Devdi Gam              NaN      AMTS                       NaN                         NaN  POINT (72.64973 22.907087)       NORMAL
        1441       4828                                  Devdi Bhagol              NaN      AMTS                       NaN                         NaN POINT (72.646935 22.906006)       NORMAL
        1733       4829                                 Istolabad Vad              NaN      AMTS                       NaN                         NaN POINT (72.644852 22.903605)       NORMAL
        2011       4830                                 Mahij Chowkdi              NaN      AMTS                       NaN                         NaN POINT (72.638169 22.902382)       NORMAL
        1392       5628                                    Chosar Gam              NaN      AMTS                       NaN                         NaN POINT (72.634908 22.902682)       NORMAL
        1391       5629                             Chosar Char Rasta              NaN      AMTS                       NaN                         NaN POINT (72.634294 22.902901)       NORMAL
        5091       5661                            Swasar Pravesh - 1              NaN      AMTS                       NaN                         NaN  POINT (72.63558 22.905828)       NORMAL
        1517       5630                                     Gamdi Gam              NaN      AMTS                       NaN                         NaN POINT (72.635821 22.906855)       NORMAL
        5080       5662                                Nilkanth Kutir              NaN      AMTS                       NaN                         NaN POINT (72.635521 22.908645)       NORMAL
        1232       4833                             Baliyadev (Gamdi)              NaN      AMTS                       NaN                         NaN POINT (72.630431 22.915946)       NORMAL
        1545       5631                                Ghanshyam Farm              NaN      AMTS                       NaN                         NaN   POINT (72.627226 22.9229)       NORMAL
        2144       5632                                   Namdar Farm              NaN      AMTS                       NaN                         NaN POINT (72.624799 22.927584)       NORMAL
        1283       4834                             Bhathijinu Mandir              NaN      AMTS                       NaN                         NaN POINT (72.618412 22.932645)       NORMAL
        3031       5633                               Vatva ring road              NaN      AMTS                       NaN                         NaN  POINT (72.617756 22.93389)       NORMAL
        2691       5748                              Shakti Gardeniya              NaN      AMTS                       NaN                         NaN  POINT (72.616396 22.93674)       NORMAL
        2187       5634                     Nava Vatva Gram Panchayat              NaN      AMTS                       NaN                         NaN  POINT (72.614773 22.93899)       NORMAL
        5078       5658                             Ayodhya Apartment              NaN      AMTS                       NaN                         NaN POINT (72.613023 22.942916)       NORMAL
        1996       5635                                   Mahadevpura              NaN      AMTS                       NaN                         NaN POINT (72.612356 22.946818)       NORMAL
        1798       4835                           Jogni Matanu Mandir              NaN      AMTS                       NaN                         NaN POINT (72.612571 22.950743)       NORMAL
        5058       5659                       Kutir vidhyalay (Vatva)              NaN      AMTS                       NaN                         NaN POINT (72.613126 22.952591)       NORMAL
        3025       5636                                     Vatva Gam              NaN      AMTS                       NaN                         NaN POINT (72.612758 22.953971)       NORMAL
        2511       5065                                          Roza              NaN      AMTS                       NaN                         NaN POINT (72.613011 22.956533)       NORMAL
        1308       4525                                    Bibi Talav              NaN      AMTS                       NaN                         NaN POINT (72.610843 22.959751)       NORMAL
        2531       5308                                  Sadani Dhabi              NaN      AMTS                       NaN                         NaN POINT (72.606231 22.960653)       NORMAL
        2830       5309                                 Sonal Factory              NaN      AMTS                       NaN                         NaN POINT (72.603445 22.961292)       NORMAL
        1429       4836                              Dayaram Printary              NaN      AMTS                       NaN                         NaN POINT (72.599866 22.962053)       NORMAL
        1630       5310                                    Gujcomasol              NaN      AMTS                       NaN                         NaN POINT (72.596215 22.962901)       NORMAL
        1749       5311                                Jalaram Estate              NaN      AMTS                       NaN                         NaN POINT (72.593425 22.963518)       NORMAL
        2179       5312                                 Narol Turning              NaN      AMTS                       NaN                         NaN  POINT (72.590881 22.96407)       NORMAL
        2684       3333                                      Shahwadi              NaN      AMTS                       NaN                         NaN POINT (72.588551 22.966846)       NORMAL
        2176       3335                                  Narol Circle              NaN      AMTS                       NaN                         NaN POINT (72.587935 22.973751)       NORMAL
        2486       3336                                  Ranipur Road              NaN      AMTS                       NaN                         NaN  POINT (72.586008 22.97853)       NORMAL
        1362       3337                          Chandola Octroi Naka              NaN      AMTS                       NaN                         NaN  POINT (72.585616 22.98214)       NORMAL
        2278       3338                                  P.W.D. Stand              NaN      AMTS                       NaN                         NaN POINT (72.584385 22.983641)       NORMAL
        5062       5660                              Sulema ni masjid              NaN      AMTS                       NaN                         NaN  POINT (72.58228 22.987783)       NORMAL
        1363       3339                                Chandola Talav              NaN      AMTS                       NaN                         NaN POINT (72.582214 22.988482)       NORMAL
        1344       3340                        Chaitanyeshwar Mahadev              NaN      AMTS                       NaN                         NaN POINT (72.585275 22.991448)       NORMAL
        2678       3341                              Shahalam Darwaja              NaN      AMTS                       NaN                         NaN POINT (72.588396 22.993753)       NORMAL
        2091       3342                               Mohmadi Society              NaN      AMTS                       NaN                         NaN  POINT (72.58914 22.997303)       NORMAL
        2272       2884                       P&T Quarters (Shahalam)              NaN      AMTS                       NaN                         NaN POINT (72.589495 22.998753)       NORMAL
        2679       4837                             Shahalam Tollnaka              NaN      AMTS                       NaN                         NaN POINT (72.589493 23.002443)       NORMAL
        2031       2153                                   Mangal Park              NaN      AMTS                       NaN                         NaN POINT (72.589883 23.003648)       NORMAL
        1302       2154                                Bhulabhai Park              NaN      AMTS                       NaN                         NaN POINT (72.590783 23.005848)       NORMAL
        2016       2155                                     Majur Gam              NaN      AMTS                       NaN                         NaN POINT (72.591615 23.009293)       NORMAL
        2526       3908                                    S.T. Stand              NaN      AMTS                       NaN                         NaN   POINT (72.5913 23.013236)       NORMAL
        1197       2227                              Astodiya Darwaja              NaN      AMTS                       NaN                         NaN POINT (72.591058 23.016258)       NORMAL
        2526       3812                                    S.T. Stand              NaN      AMTS                       NaN                         NaN  POINT (72.591495 23.01324)       NORMAL
        2016       2228                                     Majur Gam              NaN      AMTS                       NaN                         NaN POINT (72.591678 23.009298)       NORMAL
        1302       2229                                Bhulabhai Park              NaN      AMTS                       NaN                         NaN  POINT (72.59113 23.006485)       NORMAL
        2031       2230                                   Mangal Park              NaN      AMTS                       NaN                         NaN POINT (72.590043 23.003641)       NORMAL
        2679       2866                             Shahalam Tollnaka              NaN      AMTS                       NaN                         NaN POINT (72.589681 23.002373)       NORMAL
        2272       2867                       P&T Quarters (Shahalam)              NaN      AMTS                       NaN                         NaN POINT (72.589673 22.998713)       NORMAL
        2091       3253                               Mohmadi Society              NaN      AMTS                       NaN                         NaN POINT (72.589313 22.997326)       NORMAL
        2678       3254                              Shahalam Darwaja              NaN      AMTS                       NaN                         NaN POINT (72.588563 22.993836)       NORMAL
        1344       3255                        Chaitanyeshwar Mahadev              NaN      AMTS                       NaN                         NaN POINT (72.585128 22.991248)       NORMAL
        1363       3256                                Chandola Talav              NaN      AMTS                       NaN                         NaN POINT (72.582433 22.988451)       NORMAL
        2278       3257                                  P.W.D. Stand              NaN      AMTS                       NaN                         NaN POINT (72.584675 22.983628)       NORMAL
        1362       3258                          Chandola Octroi Naka              NaN      AMTS                       NaN                         NaN POINT (72.585955 22.981878)       NORMAL
        2486       3259                                  Ranipur Road              NaN      AMTS                       NaN                         NaN POINT (72.586258 22.978376)       NORMAL
        2176       3260                                  Narol Circle              NaN      AMTS                       NaN                         NaN POINT (72.588505 22.971628)       NORMAL
        2684       3262                                      Shahwadi              NaN      AMTS                       NaN                         NaN POINT (72.589111 22.966378)       NORMAL
        2179       4062                                 Narol Turning              NaN      AMTS                       NaN                         NaN POINT (72.591025 22.964066)       NORMAL
        1749       4520                                Jalaram Estate              NaN      AMTS                       NaN                         NaN  POINT (72.593525 22.96354)       NORMAL
        1630       4521                                    Gujcomasol              NaN      AMTS                       NaN                         NaN POINT (72.596435 22.962873)       NORMAL
        1429       4522                              Dayaram Printary              NaN      AMTS                       NaN                         NaN POINT (72.600033 22.962076)       NORMAL
        2531       4524                                  Sadani Dhabi              NaN      AMTS                       NaN                         NaN POINT (72.606351 22.960646)       NORMAL
        2511       4063                                          Roza              NaN      AMTS                       NaN                         NaN POINT (72.612081 22.957468)       NORMAL
        3025       4804                                     Vatva Gam              NaN      AMTS                       NaN                         NaN POINT (72.612875 22.953706)       NORMAL
        5058       5663                       Kutir vidhyalay (Vatva)              NaN      AMTS                       NaN                         NaN POINT (72.613173 22.952691)       NORMAL
        1798       4064                           Jogni Matanu Mandir              NaN      AMTS                       NaN                         NaN POINT (72.612683 22.950853)       NORMAL
        1996       4805                                   Mahadevpura              NaN      AMTS                       NaN                         NaN POINT (72.612511 22.946654)       NORMAL
        5078       5664                             Ayodhya Apartment              NaN      AMTS                       NaN                         NaN  POINT (72.61313 22.942854)       NORMAL
        2187       4806                     Nava Vatva Gram Panchayat              NaN      AMTS                       NaN                         NaN POINT (72.614919 22.938962)       NORMAL
        2691       5665                              Shakti Gardeniya              NaN      AMTS                       NaN                         NaN   POINT (72.6167 22.936561)       NORMAL
        3031       4807                               Vatva ring road              NaN      AMTS                       NaN                         NaN POINT (72.617865 22.933933)       NORMAL
        1283       4065                             Bhathijinu Mandir              NaN      AMTS                       NaN                         NaN POINT (72.618539 22.932748)       NORMAL
        2144       4808                                   Namdar Farm              NaN      AMTS                       NaN                         NaN POINT (72.624887 22.927561)       NORMAL
        1545       4809                                Ghanshyam Farm              NaN      AMTS                       NaN                         NaN POINT (72.627292 22.922897)       NORMAL
        1232       4810                             Baliyadev (Gamdi)              NaN      AMTS                       NaN                         NaN POINT (72.630499 22.915957)       NORMAL
        5080       5749                                Nilkanth Kutir              NaN      AMTS                       NaN                         NaN   POINT (72.6356 22.908608)       NORMAL
        1517       4811                                     Gamdi Gam              NaN      AMTS                       NaN                         NaN POINT (72.635903 22.906836)       NORMAL
        5091       5666                            Swasar Pravesh - 1              NaN      AMTS                       NaN                         NaN POINT (72.635648 22.905756)       NORMAL
        1391       4812                             Chosar Char Rasta              NaN      AMTS                       NaN                         NaN POINT (72.634271 22.902802)       NORMAL
        1392       4067                                    Chosar Gam              NaN      AMTS                       NaN                         NaN   POINT (72.63509 22.90282)       NORMAL
        2011       4813                                 Mahij Chowkdi              NaN      AMTS                       NaN                         NaN POINT (72.638052 22.902492)       NORMAL
        1733       4831                                 Istolabad Vad              NaN      AMTS                       NaN                         NaN POINT (72.644823 22.903692)       NORMAL
        1441       4068                                  Devdi Bhagol              NaN      AMTS                       NaN                         NaN POINT (72.646946 22.906103)       NORMAL
        1442       4069                                     Devdi Gam              NaN      AMTS                       NaN                         NaN POINT (72.649681 22.907225)       NORMAL
        3029       5299                        Vatva Railway Crossing              NaN      AMTS                       NaN                         NaN POINT (72.631526 22.962721)       NORMAL
        2662       5300                             Saurashtra Paints              NaN      AMTS                       NaN                         NaN  POINT (72.61463 22.960078)       NORMAL
        1308       5327                                    Bibi Talav              NaN      AMTS                       NaN                         NaN POINT (72.611226 22.960215)       NORMAL
        1573       5328                                 Gokul Society              NaN      AMTS                       NaN                         NaN POINT (72.610616 22.962188)       NORMAL
        2555       5603                                 Saiyadni Wadi              NaN      AMTS                       NaN                         NaN  POINT (72.60914 22.965035)       NORMAL
        1540       5066                                  Gebansha Pir              NaN      AMTS                       NaN                         NaN   POINT (72.607613 22.9676)       NORMAL
        2052       5301                             Manokamna Society              NaN      AMTS                       NaN                         NaN POINT (72.605586 22.970971)       NORMAL
        1924       2145                                   Krushna bag              NaN      AMTS                       NaN                         NaN  POINT (72.603383 22.99764)       NORMAL
        2464       2146                                        Rambag              NaN      AMTS                       NaN                         NaN POINT (72.601631 22.998668)       NORMAL
        2712       2147                                 Shelat Bhuvan              NaN      AMTS                       NaN                         NaN POINT (72.600238 23.000483)       NORMAL
        1120       2150                                      Amrakunj              NaN      AMTS                       NaN                         NaN POINT (72.593941 23.002616)       NORMAL
        2679       2152                             Shahalam Tollnaka              NaN      AMTS                       NaN                         NaN POINT (72.589975 23.001698)       NORMAL
        1331       1344                                 Calico Colony              NaN      AMTS                       NaN                         NaN POINT (72.577815 23.010635)       NORMAL
        2132       3211                       Museum (Sanskar Kendra)              NaN      AMTS                       NaN                         NaN POINT (72.568025 23.012715)       NORMAL
        2284       2886                                         Paldi              NaN      AMTS                       NaN                         NaN POINT (72.565551 23.015023)       NORMAL
        2389       1070                                   Pritamnagar              NaN      AMTS                       NaN                         NaN POINT (72.567445 23.017276)       NORMAL
        1167       1071                         Arvind Sales Emporium              NaN      AMTS                       NaN                         NaN POINT (72.568106 23.018118)       NORMAL
        1405       1725                               Congress Bhavan              NaN      AMTS                       NaN                         NaN POINT (72.568988 23.019175)       NORMAL
        2977       1072                                 V.S. Hospital              NaN      AMTS                       NaN                         NaN POINT (72.570281 23.020746)       NORMAL
        2941       2887                                      Tilakbag              NaN      AMTS                       NaN                         NaN POINT (72.578971 23.022228)       NORMAL
        1961       1077                                   Lal Darwaja              NaN      AMTS                       NaN                         NaN POINT (72.578836 23.024368)       NORMAL
        2941       2864                                      Tilakbag              NaN      AMTS                       NaN                         NaN POINT (72.579318 23.021966)       NORMAL
        2977       1130                                 V.S. Hospital              NaN      AMTS                       NaN                         NaN POINT (72.571373 23.021679)       NORMAL
        1405       1724                               Congress Bhavan              NaN      AMTS                       NaN                         NaN POINT (72.568766 23.018655)       NORMAL
        2389       1132                                   Pritamnagar              NaN      AMTS                       NaN                         NaN POINT (72.567213 23.016665)       NORMAL
        2284       2865                                         Paldi              NaN      AMTS                       NaN                         NaN POINT (72.566336 23.013558)       NORMAL
        2132       1294                       Museum (Sanskar Kendra)              NaN      AMTS                       NaN                         NaN  POINT (72.569043 23.01249)       NORMAL
        1331       1295                                 Calico Colony              NaN      AMTS                       NaN                         NaN POINT (72.577823 23.010776)       NORMAL
        1120       2233                                      Amrakunj              NaN      AMTS                       NaN                         NaN POINT (72.594101 23.002756)       NORMAL
        2712       2236                                 Shelat Bhuvan              NaN      AMTS                       NaN                         NaN POINT (72.600586 23.000241)       NORMAL
        2464       2237                                        Rambag              NaN      AMTS                       NaN                         NaN   POINT (72.60157 22.99889)       NORMAL
        1924       2238                                   Krushna bag              NaN      AMTS                       NaN                         NaN POINT (72.603683 22.997626)       NORMAL
        2368       3167                                  Prakashnagar              NaN      AMTS                       NaN                         NaN POINT (72.604063 22.993286)       NORMAL
        1725       3224                                       Isanpur              NaN      AMTS                       NaN                         NaN POINT (72.600183 22.978378)       NORMAL
        2052       4277                             Manokamna Society              NaN      AMTS                       NaN                         NaN  POINT (72.60586 22.970836)       NORMAL
        1540       4278                                  Gebansha Pir              NaN      AMTS                       NaN                         NaN  POINT (72.60766 22.967643)       NORMAL
        2555       4279                                 Saiyadni Wadi              NaN      AMTS                       NaN                         NaN POINT (72.609386 22.964741)       NORMAL
        1573       4280                                 Gokul Society              NaN      AMTS                       NaN                         NaN POINT (72.610733 22.961985)       NORMAL
        1308       4515                                    Bibi Talav              NaN      AMTS                       NaN                         NaN POINT (72.611285 22.960135)       NORMAL
        2745       4081                Shri Shantinath Jain Tirthdham              NaN      AMTS                       NaN                         NaN    POINT (72.62229 22.9613)       NORMAL
        3029       4516                        Vatva Railway Crossing              NaN      AMTS                       NaN                         NaN POINT (72.631376 22.962886)       NORMAL
        2001       4077                     Mahalakshmi Talav (Vatva)              NaN      AMTS                       NaN                         NaN   POINT (72.61736 22.95202)       NORMAL
        1862       5307                              Kashiba Hospital              NaN      AMTS                       NaN                         NaN POINT (72.615881 22.952933)       NORMAL
        5098       5326                          Panini Taanki(Vatva)              NaN      AMTS                       NaN                         NaN POINT (72.613843 22.953036)       NORMAL
        2851       3334                                     Bansidhar              NaN      AMTS                       NaN                         NaN POINT (72.588266 22.969223)       NORMAL
        2851       3261                                     Bansidhar              NaN      AMTS                       NaN                         NaN  POINT (72.588588 22.96874)       NORMAL
        2830       4523                                 Sonal Factory              NaN      AMTS                       NaN                         NaN POINT (72.603591 22.961313)       NORMAL
        5098       4526                          Panini Taanki(Vatva)              NaN      AMTS                       NaN                         NaN POINT (72.613883 22.953075)       NORMAL
        1862       4527                              Kashiba Hospital              NaN      AMTS                       NaN                         NaN POINT (72.615873 22.952985)       NORMAL
        2001       4528                     Mahalakshmi Talav (Vatva)              NaN      AMTS                       NaN                         NaN POINT (72.617331 22.952046)       NORMAL
        2042       1310                                     Maninagar              NaN      AMTS                       NaN                         NaN POINT (72.610973 22.998831)       NORMAL
        2432       4838                  Railway Crossing (Maninagar)              NaN      AMTS                       NaN                         NaN  POINT (72.61367 22.994713)       NORMAL
        1371       4839                               Chawalani Chali              NaN      AMTS                       NaN                         NaN POINT (72.614725 22.992435)       NORMAL
        2049       4840                             Maniyasha Society              NaN      AMTS                       NaN                         NaN  POINT (72.61568 22.990393)       NORMAL
        2505       4841                                   Rinku Flats              NaN      AMTS                       NaN                         NaN POINT (72.616568 22.988608)       NORMAL
