workday,schedule_for_route_code,trip_id,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,vehicle_code,driver_code,trip_status,trip_last_update_time
24/03/2023,5510864,2403235510864,12U-RC,R.T.O Circle - CTM Cross Road,CTM Cross Road,NORMAL,318,89,11:24:00,12:29:00,12/CR22,CR22-F,0,,,,
24/03/2023,5510865,2403235510865,12D-CR,CTM Cross Road - R.T.O Circle,R.T.O Circle,NORMAL,90,1,13:12:00,14:22:00,12/CR22,CR22-F,0,,,,
24/03/2023,5510866,2403235510866,12U-RC,R.T.O Circle - CTM Cross Road,CTM Cross Road,NORMAL,318,89,19:10:00,20:24:00,12/CR22,CR22-S,0,,,,
24/03/2023,5510867,2403235510867,12D-CR,CTM Cross Road - R.T.O Circle,R.T.O Circle,NORMAL,90,1,21:15:00,22:23:00,12/CR22,CR22-S,0,,,,
24/03/2023,5510868,2403235510868,12U-RP,R.T.O Circle - Rameshwar Park,Rameshwar Park,NORMAL,318,100,22:21:00,23:29:00,12/CR20,CR20-S,0,,,,
24/03/2023,5510869,2403235510869,12D-PR,Rameshwar Park - R.T.O Circle,R.T.O Circle,NORMAL,99,1,09:42:00,11:05:00,12/CR22,CR22-F,0,,,,
24/03/2023,5510870,2403235510870,12D-PR,Rameshwar Park - R.T.O Circle,R.T.O Circle,NORMAL,99,1,16:40:00,18:04:00,12/CR17,CR17-S,0,,,,
24/03/2023,5510871,2403235510871,12U-RP,R.T.O Circle - Rameshwar Park,Rameshwar Park,NORMAL,318,100,21:50:00,22:58:00,12/CR17,CR17-S,0,,,,
24/03/2023,5510872,2403235510872,12U-RP,R.T.O Circle - Rameshwar Park,Rameshwar Park,NORMAL,318,100,10:58:00,12:11:00,12/CR04,CR04-F,0,,,,
24/03/2023,5510873,2403235510873,12U-CC,Chandkheda Gam - CTM Cross Road,CTM Cross Road,NORMAL,225,89,06:05:00,07:24:00,12/RC03,RC03-F,0,,,,
24/03/2023,5510874,2403235510874,12U-CC,Chandkheda Gam - CTM Cross Road,CTM Cross Road,NORMAL,225,89,06:20:00,07:42:00,12/RC04,RC04-F,0,,,,
