workday,schedule_for_route_code,trip_id,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,vehicle_code,driver_code,trip_status,trip_last_update_time
25/03/2023,5524893,2503235524893,DR205,Vadaj - Acher Depot,Acher Depot,NORMAL,2107,9956,20:25:00,20:55:00,503/B,503/B-G,0,,,,
25/03/2023,5524894,2503235524894,DR356,Acher Depot - Nava Vadaj,Nava Vadaj,NORMAL,9956,2101,07:30:00,07:45:00,800/A,800/A-G,0,,,,
25/03/2023,5524895,2503235524895,DR730,Nava Vadaj - Acher Depot,Acher Depot,NORMAL,2101,9956,20:35:00,20:45:00,800/A,800/A-G,0,,,,
25/03/2023,5524896,2503235524896,DR356,Acher Depot - Nava Vadaj,Nava Vadaj,NORMAL,9956,2101,08:30:00,08:45:00,800/B,800/B-G,0,,,,
25/03/2023,5524897,2503235524897,DR730,Nava Vadaj - Acher Depot,Acher Depot,NORMAL,2101,9956,21:35:00,21:45:00,800/B,800/B-G,0,,,,
25/03/2023,5524898,2503235524898,DR729,Acher Depot - Nava Vadaj,Nava Vadaj,NORMAL,9956,2082,07:34:00,07:45:00,900/A,900/A-G,0,,,,
25/03/2023,5524899,2503235524899,DR730,Nava Vadaj - Acher Depot,Acher Depot,NORMAL,2101,9956,20:30:00,20:40:00,900/A,900/A-G,0,,,,
25/03/2023,5524900,2503235524900,DR729,Acher Depot - Nava Vadaj,Nava Vadaj,NORMAL,9956,2082,08:34:00,08:45:00,900/B,900/B-G,0,,,,
25/03/2023,5524901,2503235524901,DR730,Nava Vadaj - Acher Depot,Acher Depot,NORMAL,2101,9956,21:30:00,21:40:00,900/B,900/B-G,0,,,,
25/03/2023,5524902,2503235524902,DR723,Memco Depot 1-ARM - Manmohan Park,Manmohan Park,NORMAL,9966,7607,07:36:00,07:50:00,1304/A,1304/A-G,0,,,,
25/03/2023,5524903,2503235524903,DR734,Memco - Memco Depot 1-ARM,Memco Depot 1,NORMAL,2688,9966,21:10:00,21:12:00,1304/A,1304/A-G,0,,,,
25/03/2023,5524904,2503235524904,DR723,Memco Depot 1-ARM - Manmohan Park,Manmohan Park,NORMAL,9966,7607,08:11:00,08:25:00,1304/B,1304/B-G,0,,,,
25/03/2023,5524905,2503235524905,DR734,Memco - Memco Depot 1-ARM,Memco Depot 1,NORMAL,2688,9966,21:45:00,21:47:00,1304/B,1304/B-G,0,,,,
25/03/2023,5524906,2503235524906,DR356,Acher Depot - Nava Vadaj,Nava Vadaj,NORMAL,9956,2101,07:40:00,07:55:00,1304/C,1304/C-G,0,,,,
25/03/2023,5524907,2503235524907,DR730,Nava Vadaj - Acher Depot,Acher Depot,NORMAL,2101,9956,21:10:00,21:20:00,1304/C,1304/C-G,0,,,,
25/03/2023,5524908,2503235524908,DR356,Acher Depot - Nava Vadaj,Nava Vadaj,NORMAL,9956,2101,08:15:00,08:30:00,1304/D,1304/D-G,0,,,,
25/03/2023,5524909,2503235524909,DR730,Nava Vadaj - Acher Depot,Acher Depot,NORMAL,2101,9956,21:50:00,22:00:00,1304/D,1304/D-G,0,,,,
25/03/2023,5524910,2503235524910,DR612,Marwadi Depot - Maninagar,Maninagar,NORMAL,9964,1329,06:03:00,06:15:00,1601/A,1601/A-G,0,,,,
25/03/2023,5524911,2503235524911,DR882,Maninagar - Marwadi Depot,Marwadi Depot,NORMAL,1310,9964,19:45:00,19:57:00,1601/A,1601/A-G,0,,,,
25/03/2023,5524912,2503235524912,DR211,Bhairavnath Depot - Isanpur,Isanpur,NORMAL,9952,3224,05:42:00,06:00:00,F4/A,F4/A-F,0,,,,
25/03/2023,5524913,2503235524913,DR764,Isanpur - Bhairavnath Depot-SAM,Bhairavnath Depot,NORMAL,3072,9952,21:30:00,21:35:00,F4/A,F4/A-S,0,,,,
25/03/2023,5524914,2503235524914,DR713,Jamalpur Depot - Vadaj,Vadaj,NORMAL,9951,3232,06:32:00,06:45:00,F5/A,F5/A-F,0,,,,
25/03/2023,5524915,2503235524915,DR454,Vadaj - Jamalpur Depot,Jamalpura Depot,NORMAL,2033,9951,22:15:00,22:28:00,F5/A,F5/A-S,0,,,,
25/03/2023,5524916,2503235524916,DR604,Marwadi Depot - Sarangpur,Sarangpur,NORMAL,9964,1204,06:24:00,06:30:00,1466/A,1466/A-G,0,,,,
25/03/2023,5524917,2503235524917,DR767,Sarangpur - Marwadi Depot,Marwadi Depot,NORMAL,1489,9964,20:00:00,20:08:00,1466/A,1466/A-G,0,,,,
25/03/2023,5524918,2503235524918,DR738,Bhairavnath Depot-SAM - Sarangpur,Sarangpur,NORMAL,9952,1844,06:49:00,07:05:00,1481/A,148/1A-F,0,,,,
25/03/2023,5524919,2503235524919,DR720,Sarangpur - Bhairavnath Depot-SAM,Bhairavnath Depot,NORMAL,1489,9952,22:30:00,22:44:00,1481/A,148/1A-S,0,,,,
25/03/2023,5524920,2503235524920,DR345,Sarangpur Depot - Kalupur Terminus,Kalupur Terminus,NORMAL,9953,3050,06:33:00,06:35:00,3S/C,3S/C-G,0,,,,
25/03/2023,5524921,2503235524921,DR344,Kalupur Terminus - Sarangpur Depot,Sarangpur Depot,NORMAL,3050,9953,20:25:00,20:31:00,3S/C,3S/C-G,0,,,,
25/03/2023,5524922,2503235524922,DR974,Nava Vadaj Depot - TCM - Vadaj,Vadaj,NORMAL,9958,2107,08:32:00,08:35:00,401/J,401/J-G,0,,,,
