schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
56/A,5389217,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,10:15:00,12:25:00,56/A,56/A-G,0,General Shift
56/A,5389218,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,13:30:00,15:20:00,56/A,56/A-G,0,General Shift
56/A,5389219,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,15:20:00,17:20:00,56/A,56/A-G,0,General Shift
56/A,5389220,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,17:20:00,19:20:00,56/A,56/A-G,0,General Shift
89/3/H,5389221,89/3-CS-D,Chandkheda(Sarthi Bunglows)- Kalupur Terminus,Kalupur Terminus,NORMAL,2195,1715,7:20:00,8:20:00,89/3/H,89/3/H-G,0,General Shift
56/B,5389222,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,7:20:00,9:15:00,56/B,56/B-G,0,General Shift
56/B,5389223,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,9:15:00,11:05:00,56/B,56/B-G,0,General Shift
56/B,5389224,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,11:05:00,13:15:00,56/B,56/B-G,0,General Shift
56/B,5389225,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,14:20:00,16:10:00,56/B,56/B-G,0,General Shift
56/B,5389226,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,16:10:00,18:10:00,56/B,56/B-G,0,General Shift
56/B,5389227,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,18:15:00,20:15:00,56/B,56/B-G,0,General Shift
89/3/H,5389228,89/3-CS-D,Chandkheda(Sarthi Bunglows)- Kalupur Terminus,Kalupur Terminus,NORMAL,2195,1715,9:25:00,10:35:00,89/3/H,89/3/H-G,0,General Shift
56/C,5389229,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,8:10:00,9:55:00,56/C,56/C-G,0,General Shift
56/C,5389230,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,9:55:00,12:00:00,56/C,56/C-G,0,General Shift
56/C,5389231,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,12:00:00,14:05:00,56/C,56/C-G,0,General Shift
56/C,5389232,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,15:05:00,16:55:00,56/C,56/C-G,0,General Shift
