schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
144/E,5389042,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,10:45:00,11:55:00,144/E,144/E-G,0,General Shift
144/E,5389043,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,11:55:00,13:05:00,144/E,144/E-G,0,General Shift
144/E,5389044,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,13:05:00,14:15:00,144/E,144/E-G,0,General Shift
144/E,5389045,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,15:20:00,16:30:00,144/E,144/E-G,0,General Shift
144/E,5389046,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,16:30:00,17:40:00,144/E,144/E-G,0,General Shift
144/B,5389047,144-SA-D,Sarangpur - Arbudanagar,Arbudanagar,NORMAL,1489,1181,6:15:00,6:40:00,144/B,144/B-G,0,General Shift
144/B,5389048,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,6:40:00,7:40:00,144/B,144/B-G,0,General Shift
144/B,5389049,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,7:40:00,8:45:00,144/B,144/B-G,0,General Shift
144/B,5389050,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,8:45:00,9:45:00,144/B,144/B-G,0,General Shift
144/B,5389051,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,9:45:00,10:55:00,144/B,144/B-G,0,General Shift
144/B,5389052,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,10:55:00,12:00:00,144/B,144/B-G,0,General Shift
144/B,5389053,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,12:00:00,13:10:00,144/B,144/B-G,0,General Shift
144/B,5389054,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,14:15:00,15:25:00,144/B,144/B-G,0,General Shift
144/B,5389055,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,15:25:00,16:35:00,144/B,144/B-G,0,General Shift
144/B,5389056,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,16:35:00,17:50:00,144/B,144/B-G,0,General Shift
144/B,5389057,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,17:50:00,19:10:00,144/B,144/B-G,0,General Shift
144/C,5389058,144-SA-D,Sarangpur - Arbudanagar,Arbudanagar,NORMAL,1489,1181,6:35:00,7:00:00,144/C,144/C-G,0,General Shift
144/C,5389059,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,7:00:00,8:00:00,144/C,144/C-G,0,General Shift
144/C,5389060,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,8:00:00,9:10:00,144/C,144/C-G,0,General Shift
144/C,5389061,144-U,Arbudanagar - Gujarat University,Gujarat University,NORMAL,1182,1222,9:10:00,10:15:00,144/C,144/C-G,0,General Shift
144/C,5389062,144-D,Gujarat University - Arbudanagar,Arbudanagar,NORMAL,1051,1181,10:15:00,11:25:00,144/C,144/C-G,0,General Shift
