route_code,route_name,route_destination,route_variant,sequence_number,stop_code,arrival_trigger_distance,departure_trigger_distance
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,1,57,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,2,60,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,3,62,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,4,64,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,5,66,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,6,50,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,7,48,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,8,46,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,9,44,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,10,42,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,11,40,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,12,38,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,13,36,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,14,34,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,15,32,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,16,30,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,17,28,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,18,136,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,19,138,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,20,140,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,21,142,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,22,144,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,23,206,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,24,208,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,25,310,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,26,212,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,27,214,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,28,216,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,29,218,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,30,292,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,31,268,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,32,302,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,33,304,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,34,306,,
1D,Maninagar - Ghuma Gam,Ghuma Gam,NORMAL,35,270,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,1,38,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,2,36,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,3,34,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,4,32,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,5,30,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,6,28,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,7,136,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,8,138,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,9,140,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,10,142,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,11,144,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,12,206,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,13,208,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,14,310,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,15,212,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,16,214,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,17,216,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,18,218,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,19,292,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,20,268,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,21,302,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,22,304,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,23,306,,
1D-AG,Anjali - Ghuma Gam,Ghuma Gam,NORMAL,24,270,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,1,44,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,2,42,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,3,40,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,4,38,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,5,36,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,6,34,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,7,32,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,8,30,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,9,28,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,10,136,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,11,138,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,12,140,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,13,142,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,14,144,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,15,206,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,16,208,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,17,310,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,18,212,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,19,214,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,20,216,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,21,218,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,22,292,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,23,268,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,24,302,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,25,304,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,26,306,,
1D-DG,Danilimda Char Rasta - Ghuma Gam,Ghuma Gam,NORMAL,27,270,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,1,57,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,2,60,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,3,62,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,4,64,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,5,66,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,6,50,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,7,48,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,8,46,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,9,44,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,10,42,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,11,40,,
1D-MA,Maninagar - Anjali,Anjali,NORMAL,12,38,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,1,57,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,2,60,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,3,62,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,4,64,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,5,66,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,6,50,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,7,48,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,8,46,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,9,44,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,10,42,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,11,40,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,12,38,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,13,36,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,14,34,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,15,32,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,16,30,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,17,28,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,18,136,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,19,138,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,20,140,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,21,142,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,22,144,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,23,206,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,24,208,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,25,310,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,26,212,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,27,214,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,28,216,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,29,218,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,30,292,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,31,268,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,32,302,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,33,304,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,34,306,,
1DL,Maninagar - Ghuma Gam,Ghuma Gam,Ladies Special,35,270,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,1,70,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,2,68,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,3,44,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,4,42,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,5,40,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,6,38,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,7,36,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,8,34,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,9,32,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,10,30,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,11,28,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,12,136,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,13,138,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,14,140,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,15,142,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,16,144,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,17,206,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,18,208,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,19,310,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,20,212,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,21,214,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,22,216,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,23,218,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,24,292,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,25,268,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,26,302,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,27,304,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,28,306,,
1S-CG,Chhipa Society - Ghuma Gam,Ghuma Gam,NORMAL,29,270,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,1,70,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,2,68,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,3,45,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,4,47,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,5,49,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,6,51,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,7,53,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,8,55,,
1S-CM,Chhipa Society - Maninagar,Maninagar,NORMAL,9,317,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,1,13,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,2,15,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,3,17,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,4,19,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,5,21,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,6,23,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,7,25,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,8,136,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,9,138,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,10,140,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,11,142,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,12,144,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,13,206,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,14,208,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,15,310,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,16,212,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,17,214,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,18,216,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,19,218,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,20,292,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,21,268,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,22,302,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,23,304,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,24,306,,
1S-JG,Jaimangal - Ghuma Gam,Ghuma Gam,NORMAL,25,270,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,1,269,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,2,305,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,3,303,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,4,301,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,5,267,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,6,291,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,7,217,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,8,215,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,9,213,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,10,211,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,11,309,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,12,207,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,13,205,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,14,143,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,15,141,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,16,139,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,17,137,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,18,135,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,19,26,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,20,24,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,21,22,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,22,20,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,23,18,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,24,16,,
1E-GJ,Ghuma Gam - Jaimangal,Jaimangal,NORMAL,25,14,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,1,269,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,2,305,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,3,303,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,4,301,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,5,267,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,6,291,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,7,217,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,8,215,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,9,213,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,10,211,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,11,309,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,12,207,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,13,205,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,14,143,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,15,141,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,16,139,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,17,137,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,18,135,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,19,27,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,20,29,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,21,31,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,22,33,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,23,35,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,24,37,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,25,39,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,26,41,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,27,43,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,28,67,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,29,69,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,30,71,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,31,73,,
1E-GK,Ghuma Gam - Kashiram Textiles,Kashiram Textiles,NORMAL,32,75,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,1,57,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,2,60,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,3,62,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,4,64,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,5,66,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,6,50,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,7,48,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,8,46,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,9,67,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,10,69,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,11,71,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,12,73,,
1E-MK,Maninagar - Kashiram Textiles,Kashiram Textiles,NORMAL,13,75,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,1,269,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,2,305,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,3,303,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,4,301,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,5,267,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,6,291,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,7,217,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,8,215,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,9,213,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,10,211,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,11,309,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,12,207,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,13,205,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,14,143,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,15,141,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,16,139,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,17,137,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,18,135,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,19,27,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,20,29,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,21,31,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,22,33,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,23,35,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,24,37,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,25,39,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,26,41,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,27,43,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,28,45,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,29,47,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,30,49,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,31,51,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,32,53,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,33,55,,
1U,Ghuma Gam - Maninagar,Maninagar,NORMAL,34,317,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,1,37,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,2,39,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,3,41,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,4,43,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,5,45,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,6,47,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,7,49,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,8,51,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,9,53,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,10,55,,
1U-AM,Anjali - Maninagar,Maninagar,NORMAL,11,317,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,1,269,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,2,305,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,3,303,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,4,301,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,5,267,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,6,291,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,7,217,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,8,215,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,9,213,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,10,211,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,11,309,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,12,207,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,13,205,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,14,143,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,15,141,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,16,139,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,17,137,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,18,135,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,19,27,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,20,29,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,21,31,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,22,33,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,23,35,,
1U-GA,Ghuma Gam - Anjali,Anjali,NORMAL,24,37,,
1U-GD,Ghuma Gam - Danilimda Char Rasta,Danilimda Char Rasta,NORMAL,1,269,,
1U-GD,Ghuma Gam - Danilimda Char Rasta,Danilimda Char Rasta,NORMAL,2,305,,
